rank,noun,adj,count
542,kabab,seasoned,1
543,kabab,soft,1
544,juicy,seasoned,1
545,juicy,soft,1
546,quantity,huge,1
547,consistency,same,1
548,kofta,same,1
549,it,less expensive,1
550,chicken meat,same,1
551,overall,overall,1
552,platter,really good,1
553,platter,come,1
554,portion,large,1
555,line,long,1
556,seating,limited,1
557,thing,good,1
558,cuisine,afgan,1
559,price,higher,1
560,bit,higher,1
561,customer,other,1
562,price,lower,1
563,kebab,single,1
564,tad,lower,1
565,stick,lower,1
566,dine-in,very different,1
567,kebab,very tasty,1
568,foods/dips,super,1
569,foods/dips,spicy,1
570,craving,future,1
571,nothing,really special,1
572,advantage,only,1
573,advantage,main,1
574,restaurant,better,1
575,content,fully comfortable,1
576,kebab,good,1
577,chicken,exceptional,1
578,I,not happy,1
579,thing,not happy,1
580,piece,uncooked,1
581,dessert,free,1
582,dessert,delicious,1
583,place,alright,1
584,make,alright,1
585,mignon,delicious,1
586,mignon,worth,1
587,trip,delicious,1
588,trip,worth,1
589,overall,good,1
590,sauce,also wonderful,1
591,work,little,1
592,meal,very good,1
593,speaker system,better,1
594,minute,not acceptable,1
595,service,much better,1
596,Bamiyan,much better,1
597,kabab,amazing,1
598,size,fantastic,1
599,fan,very big,1
600,weekend,usually very busy,1
601,I,extremely impressed,1
602,food,extremely impressed,1
603,reason,reluctant,1
604,I,reluctant,1
605,restaurant,second,1
606,restaurant,afgan,1
607,experience,first,1
608,Kandahar Kabab,quite large,1
609,Kandahar Kabab,become,1
610,crowd,larger,1
611,portion,very generous,1
612,naan,free,1
613,amount,decent,1
614,stomach,empty,1
615,Naan,too full,1
616,cashier,rude,1
617,quality meat,good,1
618,spot,favourite,1
619,cuisine,afghan,1
620,Sardari Kabab,favourite,1
621,lot,spicier,1
622,kind,spicier,1
623,kabab,always juicy,1
624,tender,always juicy,1
625,bonus,always juicy,1
626,case,serious,1
627,time,numerous,1
628,restaurant,favourite,1
629,couple,past,1
630,experience,worse,1
631,rate,same,1
632,lineup,huge,1
633,kind,similar,1
634,customer,loyal,1
635,warehouse,very close,1
636,place,very close,1
637,restaurant,very good,1
638,atmosphere,nice,1
639,layout,nice,1
640,eye,own,1
641,everything,fresh,1
642,sauce,very good,1
643,lady,older,1
644,lady,nice,1
645,lady,helpful,1
646,rice,good,1
647,thing,worst,1
648,Food,good,1
649,Food,not worth,1
650,rest,nice,1
651,food,nice,1
652,Food,amazing,1
653,impression,not too bad,1
654,waterfall glass decor,nice,1
655,it,not too busy,1
656,they,tasty,1
657,part,burnt,1
658,they,pricey,1
659,time,good,1
660,time,great,1
661,mayo/ranch sauce,white,1
662,food,pricey,1
663,desk,front,1
664,people,more,1
665,inside,nice,1
666,inside,clean,1
667,potion,good,1
668,food,decent,1
669,restaurant,good,1
670,price,pretty fair,1
671,thing,only,1
672,kabob,usual,1
673,location,very busy,1
674,food,typical,1
675,Mentu,ok,1
676,herati kebab,favourite,1
677,they,pretty stingy,1
678,meal,entire,1
679,portion,also outrageous,1
680,portion,share,1
681,I,also outrageous,1
682,I,share,1
683,devour,also outrageous,1
684,devour,share,1
685,thing,whole,1
686,problem,only,1
687,time,multiple,1
688,it,much,1
689,problem,much,1
690,food,worth,1
691,problem,worth,1
692,wait,worth,1
693,restaurant,best,1
694,chicken kebab,amazing,1
